,en,jp,zh,th,es,vi,id
Actions,Actions,アクション,動作,การดำเนินการ,Comportamiento,hành động,Aksi
Activate,ACTIVATE,アクティベート,啟用,เปิดใช้งาน,ACTIVAR,KÍCH HOẠT,AKTIFKAN
Activated,activated,アクティベート済み,已啟用,เปิดใช้งานแล้ว,activado,kích hoạt,diaktifkan
ActiveHint,Please reboot to activate the license.,ライセンスを有効にするために再起動してください,請重新開機使憑證生效,โปรดรีบูตเพื่อเปิดใช้งานใบอนุญาต,Reinicie para activar la licencia.,Vui lòng khởi động lại để kích hoạt giấy phép.,Lakukan reboot untuk mengaktifkan lisensi.
Add,Add,追加,新增,เพิ่ม,Agregar,Thêm vào,Tambah
AddInvestigation,Build task,タスクを構築します,建立任務,สร้างงาน,construir tarea,Xây dựng nhiệm vụ,Mulai investigasi
AddToCase,Add to case,ケースに追加します,加到案件,เพิ่มในกรณี,Añadir al caso,Thêm vào trường hợp,Tambahkan ke kasus
AddToCaseDialog,"Users can save specific search results in the system, along with a name and description, for future viewing or reference. This facilitates easy tracking and access to content of interest, simplifying information management.",ユーザーは特定の検索結果を将来の閲覧や参照のためにシステムに保存できます。これにより、興味のあるコンテンツの簡単な追跡とアクセスが可能になり、情報管理が簡素化されます。,使用者可以將特定的搜尋結果存入系統，並加入名稱和描述，以供日後查看或參考。這有助於輕鬆追蹤和存取感興趣的內容，並簡化資訊管理。,ผู้ใช้สามารถบันทึกผลการค้นหาเฉพาะในระบบพร้อมชื่อและคำอธิบายสำหรับการดูหรืออ้างอิงในอนาคต ช่วยให้ติดตามและเข้าถึงเนื้อหาที่สนใจได้ง่าย และทำให้การจัดการข้อมูลง่ายขึ้น,"Los usuarios pueden guardar resultados de búsqueda específicos en el sistema, junto con un nombre y una descripción, para verlos o consultarlos en el futuro. Esto facilita un fácil seguimiento y acceso a contenidos de interés, simplificando la gestión de la información.","Người dùng có thể lưu kết quả tìm kiếm cụ thể vào hệ thống, cùng với tên và mô tả để xem hoặc tham khảo sau này. Điều này tạo điều kiện dễ dàng theo dõi và truy cập nội dung quan tâm, đơn giản hóa việc quản lý thông tin.","Pengguna dapat menyimpan hasil pencarian tertentu dalam sistem, bersama dengan nama dan deskripsi, untuk dilihat atau referensi di masa mendatang. Hal ini memudahkan pelacakan dan akses ke konten yang menarik, menyederhanakan pengelolaan informasi."
AddUser,Add User,ユーザーの追加,新增用戶,เพิ่มผู้ใช้,Agregar usuario,Thêm người dùng,Tambahkan pengguna
Administrator,Administrator,管理者,管理者,ผู้ดูแลระบบ,Administrador,Người quản lý,Administrator
